id,model,brand,weight,released,operatingSystem,platform,deviceCategory
4578,Xperia SP LTE C5306,Sony,155 g,2013 Apr.,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4579,Novo 9 Spark,Ainol,642.3 g,2013 Mar,Google Android 4.1.1 (Jelly Bean),Android,Tablet
4580,Novo 10 Hero,Ainol,672 g,2012 Nov.,Google Android 4.1.1 (Jelly Bean),Android,Tablet
4581,Novo 8 Talos,Ainol,480 g,2013 Apr.,Google Android 4.2.1 (Jelly Bean),Android,Tablet
4582,Novo 8 Discover,Ainol,433 g,2013 May,Google Android 4.1.2 (Jelly Bean),Android,Tablet
4583,Lumia 925 Superman Edition,Nokia,139 g,2013 Aug.,Microsoft Windows Phone 8 (Apollo),Windows (mobile-class),Smartphone
4584,GT-i9192 Galaxy S4 Mini Duos,Samsung,108 g,2013 Jul,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4585,GT-i9195 Galaxy S4 Mini LTE,Samsung,107 g,2013 Jul,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4586,One Touch Idol OT-6030A,Alcatel,110 g,2013 May 27,Google Android 4.1.1 (Jelly Bean),Android,Smartphone
4587,GT-S6310N Galaxy Young,Samsung,112 g,2013 Apr.,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4588,One Touch Idol OT-6030,Alcatel,110 g,2013 Apr.,Google Android 4.1.1 (Jelly Bean),Android,Smartphone
4589,SGH-i467 Galaxy Note 8.0 LTE,Samsung,345 g,2013 Jun,Google Android 4.1.2 (Jelly Bean),Android,Tablet
4590,Novo 10 Captain,Ainol,669 g,2012 Dec,Google Android 4.1.1 (Jelly Bean),Android,Tablet
4591,Novo 10 Hero II,Ainol,672 g,2013 Jan.,Google Android 4.1.1 (Jelly Bean),Android,Tablet
4595,River N7300,Yangtze,155 g,2012 Dec,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4600,IQ X,i-mobile,140 g,2013 Jun,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
4601,IQ XA,i-mobile,140 g,2013 Jun,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
4603,A2,THL,153 g,2013 Jan.,Google Android 4.0.4 (Ice Cream Sandwich),Android,Smartphone
4604,E445 / E445f Optimus L4 II Dual,LG,125 g,2013 Jul,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4605,E440 / E440G Optimus L4 II / Optimus L4X,LG,125 g,2013 Jul,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4606,Novo 8 Dream,Ainol,470 g,2013 May,Google Android 4.1.2 (Jelly Bean),Android,Tablet
4608,MeMO Pad FHD 10 ME302C 32GB,Asus,580 g,2013 Jul,Google Android 4.2.2 (Jelly Bean),Android,Tablet
4609,MeMO Pad HD 7 ME173X 16GB,Asus,302 g,2013 Jul,Google Android 4.2.1 (Jelly Bean),Android,Tablet
4610,FonePad Note FHD 6 ME560CG 16GB,Asus,210 g,2013 Dec 21,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4611,Liquid S1 S510,Acer,195 g,2013 Aug. 28,Google Android 4.2 (Jelly Bean),Android,Smartphone
4612,W10 16GB Tablet PC,Eken,650 g,2012 Aug.,Google Android 4.1.1 (Jelly Bean),Android,Tablet
4613,GT-P5200 Galaxy Tab 3 10.1 3G 16GB,Samsung,512 g,2013 Jul 7,Google Android 4.2.2 (Jelly Bean),Android,Tablet
4614,GT-P5210 Galaxy Tab 3 10.1 WiFi 32GB,Samsung,510 g,2013 Jul 7,Google Android 4.2.2 (Jelly Bean),Android,Tablet
4615,SM-T310 Galaxy Tab 3 8.0 WiFi 32GB,Samsung,314 g,2013 Jul 7,Google Android 4.2.2 (Jelly Bean),Android,Tablet
4616,Xperia M C1904,Sony,124 g,2013 Sep 11,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4617,GT-P5200 Galaxy Tab 3 10.1 3G 32GB,Samsung,512 g,2013 Jul 7,Google Android 4.2.2 (Jelly Bean),Android,Tablet
4618,Xperia M C1905,Sony,124 g,2013 Aug.,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4619,Xperia M Dual C2004,Sony,124 g,2013 Sep 11,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4620,Xperia M Dual C2005,Sony,124 g,2013 Aug.,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4621,SGH-i537 Galaxy S 4 Active,Samsung,151 g,2013 Jun 21,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4623,Element 9.7 V3,Sencor,620 g,2013 Jan.,Google Android 4.0.4 (Ice Cream Sandwich),Android,Tablet
4625,Transformer Pad Infinity 2 TF701T 32GB,Asus,585 g,2013 Sep,Google Android 4.2.2 (Jelly Bean),Android,Tablet
4626,Excite Pro / Regza Tablet AT703-58J,Toshiba,671 g,2013 Jun 21,Google Android 4.2.2 (Jelly Bean),Android,Tablet
4628,Lumia 1020.2 LTE,Nokia,158 g,2013 Jul 26,Microsoft Windows Phone 8 (Apollo),Windows (mobile-class),Smartphone
4629,Xperia ZU LTE,Sony,212 g,2013 Nov.,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4630,Transformer Pad Infinity TF700T 64GB,Asus,586 g,2012 Jul 16,Google Android 4.0.3 (Ice Cream Sandwich),Android,Tablet
4633,MeMO Pad FHD 10 ME302C 16GB,Asus,580 g,2013 Jul,Google Android 4.2.2 (Jelly Bean),Android,Tablet
4634,SHV-E370D Galaxy S4 Mini LTE,Samsung,108.6 g,2013 Jul,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4635,One Nexus Google Play Edition,HTC,143 g,2013 Jun 26,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4636,One Max LTE NA 16GB,HTC,217 g,2013 Oct,Google Android 4.3 (Jelly Bean),Android,Smartphone
4637,Nubia Z5 mini CDMA NX402,ZTE,160 g,2013 Jul 16,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4638,Honor 3 HN3-U01,Huawei,138 g,2013 Sep,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4639,LS720 Optimus F3 4G LTE,LG,115 g,2013 Jun 14,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4640,MX3 M055 32GB,Meizu,143 g,2013 Nov. 6,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4641,Primo 91 32 GB,MSI,650 g,2013 Feb.,Google Android 4.0.4 (Ice Cream Sandwich),Android,Tablet
4642,Primo 91 16 GB,MSI,650 g,2013 Feb.,Google Android 4.0.4 (Ice Cream Sandwich),Android,Tablet
4643,SM-T310 Galaxy Tab 3 8.0 WiFi 16GB,Samsung,314 g,2013 Jul 7,Google Android 4.2.2 (Jelly Bean),Android,Tablet
4644,SHV-E230S Galaxy Note 10.1 LTE 16GB,Samsung,600 g,2012 Nov. 21,Google Android 4.1.2 (Jelly Bean),Android,Tablet
4645,GT-P5210 Galaxy Tab 3 10.1 WiFi 16GB,Samsung,510 g,2013 Jul 7,Google Android 4.2.2 (Jelly Bean),Android,Tablet
4646,Yuandao N90 FHD,Vido,612 g,2013 Jan.,Google Android 4.2 (Jelly Bean),Android,Tablet
4647,A6589S,Cubot,164 g,2013 Apr.,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
4648,N9810 Vital,ZTE,154 g,2013 Jun,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4649,SM-C101 Galaxy S4 Zoom / SM-C1010,Samsung,208 g,2013 Jul 8,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
4650,IdeaPhone A820 / LePhone A820,Lenovo,151 g,2013 Mar 18,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4651,A890,Cubot,156 g,2013 Apr.,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
4652,I30,Freelander,152 g,2013 Mar,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
4654,BlackBerry Q10 LTE SQN100-4,Sprint,139 g,2013 Aug. 29,RIM BlackBerry 10 OS,BlackBerry OS,Smartphone
4655,GT-S7275 / GT-S7275R Galaxy Ace 3 LTE,Samsung,119.5 g,2013 Aug.,Google Android 4.2 (Jelly Bean),Android,Smartphone
4656,GT-S7270 Galaxy Ace 3 3G,Samsung,115 g,2013 Aug.,Google Android 4.2 (Jelly Bean),Android,Smartphone
4657,Moto X XT1060,Motorola,130 g,2013 Aug. 29,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4658,SM-C105 Galaxy S4 Zoom LTE,Samsung,208 g,2013 Aug. 29,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
4659,I20,Freelander,152 g,2012 Dec,Google Android 4.1.1 (Jelly Bean),Android,Smartphone
4660,PD900,Freelander,677 g,2013 Apr.,Google Android 4.1.1 (Jelly Bean),Android,Tablet
4661,Desire 200 102e,HTC,100 g,2013 Jul,Google Android 4.0.3 (Ice Cream Sandwich),Android,Smartphone
4662,Z993 Prelude,ZTE,124.7 g,2013 Jul,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4663,Velox V72A,ZTE,382.7 g,2013 Jun,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4664,Elements 97b Titanium,Archos,650 g,2013 Jun,Google Android 4.1.2 (Jelly Bean),Android,Tablet
4665,Smart Mini,Vodafone,118 g,2013 Jun,Google Android 4.1.1 (Jelly Bean),Android,Smartphone
4666,Smart III,Vodafone,136 g,2013 Jun,Google Android 4.1.1 (Jelly Bean),Android,Smartphone
4667,PD80,Freelander,631 g,2012 Aug.,Google Android 4.1.1 (Jelly Bean),Android,Tablet
4668,GT99,Cubot,224 g,2013 May,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
4669,GT-S7272 Galaxy Ace 3 3G Duos,Samsung,115 g,2013 Aug.,Google Android 4.2 (Jelly Bean),Android,Smartphone
4670,Xperia Z1 LTE SO-01F,Sony,170 g,2013 Oct,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4671,Butterfly S 3G 901e,HTC,160 g,2013 Jun 19,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4672,One Touch Scribe HD OT-8008X,Alcatel,135 g,2013 Mar,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
4673,One Touch Scribe HD OT-8008A,Alcatel,135 g,2013 Apr.,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
4674,One Touch Scribe HD OT-8008W,Alcatel,135 g,2013 Apr.,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
4675,SGH-i527 Galaxy Mega 6.3 LTE,Samsung,199 g,2013 Aug.,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4676,GT72,Cubot,120 g,2013 Jun,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4677,MX2 M045 16GB,Meizu,142 g,2013 Jul,Google Android 4.1.1 (Jelly Bean),Android,Smartphone
4678,Xperia SP TD-LTE M35t-SG / M35ts,Sony,155 g,2013 Aug.,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4679,Regza Tablet AT503-38J,Toshiba,600 g,2013 Jun 22,Google Android 4.2.2 (Jelly Bean),Android,Tablet
4680,One Touch Idol X Dual OT-6040D,Alcatel,130 g,2013 Jun 18,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4681,Real R821T / Find Muse,Oppo,124.5 g,2013 Jul,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4682,Ascend Y511-T00,Huawei,160 g,2013 Jun 18,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4683,Ascend Y511-U00,Huawei,160 g,2013 Jun 14,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4684,GT-i9198 Galaxy S4 Mini,Samsung,107 g,2013 Aug.,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4685,IdeaPhone A706 / LePhone A706,Lenovo,130 g,2013 Jun,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4686,SHV-E300K Galaxy S4 LTE,Samsung,133 g,2013 Apr.,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4687,SHV-E300S Galaxy S4 LTE,Samsung,133 g,2013 Mar,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4688,Xperia Z Ultra C6802 XL39h,Sony,212 g,2013 Sep 13,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4689,HTC 8XT,Sprint,140 g,2013 Jul 19,Microsoft Windows Phone 8 (Apollo),Windows (mobile-class),Smartphone
4690,GT-N8000 / GT-N8005 Galaxy Note 800 16GB,Samsung,600 g,2012 Aug.,Google Android 4.0.4 (Ice Cream Sandwich),Android,Tablet
4691,SGH-i187 Ativ S Neo,Samsung,143 g,2013 Nov. 8,Microsoft Windows Phone 8 GDR3,Windows (mobile-class),Smartphone
4692,SHV-E330S Galaxy S4 LTE-A,Samsung,131 g,2013 Aug.,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4693,PHOTON ISW11M,Motorola,158 g,2011 Oct 7,Google Android 2.3.4 (Gingerbread),Android,Smartphone
4694,MediaPad 7 Vogue,Huawei,355 g,2013 Jul,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4695,BlackBerry Q5 LTE SQR100-2,RIM,120 g,2013 Aug.,RIM BlackBerry 10.2 OS,BlackBerry OS,Smartphone
4696,Xperia C Dual C2305 S39h,Sony,153 g,2013 Jul,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4697,GT-i9200 Galaxy Mega 6.3 8GB,Samsung,199 g,2013 Jun 7,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4698,GT-i9505G Galaxy S4 LTE Google Play,Samsung,130 g,2013 Jun 26,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4699,SCH-i545 Galaxy S4 32GB,Samsung,130 g,2013 Jun 28,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4700,LePhone A390,Lenovo,131 g,2013 Apr.,Google Android 4.0.4 (Ice Cream Sandwich),Android,Smartphone
4703,Vision XD9,Evolveo,669 g,2013 Feb.,Google Android 4.1.2 (Jelly Bean),Android,Tablet
4706,MultiPhone PAP5430,Prestigio,140 g,2013 Jul,Google Android 4.0.4 (Ice Cream Sandwich),Android,Smartphone
4707,Vega Racer 2 Bling IM-A830KE,Pantech,133 g,2013 Jul,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4708,Vision XD8,Evolveo,451 g,2013 Feb.,Google Android 4.1.2 (Jelly Bean),Android,Tablet
4709,Optimus F7 LG870,LG,133 g,2013 Jun 27,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4710,L45C Optimus Net,LG,122 g,2011 Dec,Google Android 2.3.4 (Gingerbread),Android,Smartphone
4711,AS695 Optimus Plus,LG,120 g,2012 Mar,Google Android 2.3.6 (Gingerbread),Android,Smartphone
4712,Butterfly S 4G LTE,HTC,160 g,2013 Jun 19,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4714,Digno Dual 2 WX10K / YAKF-1,Willcom,134 g,2013 Jul 18,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4715,SCH-P709 Galaxy Mega 5.8,Samsung,182 g,2013 Aug.,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4716,GT-i9158 Galaxy Mega 5.8,Samsung,182 g,2013 Jul 2,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4720,Vega Q PTL21,Pantech,134 g,2013 Jun,Google Android 4.0.4 (Ice Cream Sandwich),Android,Smartphone
4721,GT-S6818 Galaxy Fame,Samsung,117.9 g,2013 May,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4722,SCH-i869 Galaxy Win,Samsung,146.5 g,2013 Jun,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4723,E989 Optimus G Pro 5.5,LG,174 g,2013 Jul,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4724,Iris 458Q,Lava,143.7 g,2013 May 21,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
4725,W11 Monkey King,THL,140 g,2013 Jul 17,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
4726,VS980 G2 4G LTE,LG,143 g,2013 Sep 12,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4727,E988 Optimus G Pro 5.5 4G LTE,LG,174 g,2013 Jun,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4728,G2 D803 4G LTE,LG,143 g,2013 Oct,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4729,F320S G2 LTE-A,LG,140 g,2013 Sep 8,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4730,SCH-i939D Galaxy S3 Duos,Samsung,141 g,2012 Dec,Google Android 4.1.1 (Jelly Bean),Android,Smartphone
4731,SGH-i747M Galaxy S III LTE 16GB,Samsung,133 g,2012 Nov.,Google Android 4.0.4 (Ice Cream Sandwich),Android,Smartphone
4732,Vivo Y19t,BBK,137 g,2013 Jul,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
4733,N828,Amoi,155 g,2013 Mar 7,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
4734,A210 Canvas 4,Micromax,158 g,2013 Jul 8,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
4735,Lumia 925.2,Nokia,139 g,2013 Jul 17,Microsoft Windows Phone 8 (Apollo),Windows (mobile-class),Smartphone
4736,BlackBerry Q5 LTE SQR100-1,RIM,120 g,2013 Aug.,RIM BlackBerry 10.2 OS,BlackBerry OS,Smartphone
4737,Yuandao N70 HD,Vido,305 g,2012 Nov.,Google Android 4.1.2 (Jelly Bean),Android,Tablet
4738,Lumia 1020 LTE,Nokia,158 g,2013 Jul 22,Microsoft Windows Phone 8 (Apollo),Windows (mobile-class),Smartphone
4739,BlackBerry Q10 LTE SQN100-2,Verizon,139 g,2013 Jul,RIM BlackBerry 10 OS,BlackBerry OS,Smartphone
4740,Ascend W2-T00,Huawei,160 g,2013 Jul,Microsoft Windows Phone 8 (Apollo),Windows (mobile-class),Smartphone
4741,U2S U707t,Oppo,182 g,2013 Aug.,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
4742,Lumia 1020 3G,Nokia,158 g,2013 Jul,Microsoft Windows Phone 8 (Apollo),Windows (mobile-class),Smartphone
4743,BlackBerry Z10 4G LTE STL100-2,RIM,136 g,2013 Apr.,RIM BlackBerry 10 OS,BlackBerry OS,Smartphone
4744,BlackBerry Z10 4G LTE NA STL100-3,RIM,136.3 g,2013 Feb. 6,RIM BlackBerry 10 OS,BlackBerry OS,Smartphone
4746,SCH-R970X Galaxy S4 LTE,Samsung,130 g,2013 Jul 8,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4747,SGH-M919V Galaxy S4,Samsung,130 g,2013 May 14,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4748,SCH-R860 Ativ Odyssey,Samsung,125 g,2013 Jul 11,Microsoft Windows Phone 8 (Apollo),Windows (mobile-class),Smartphone
4749,SGH-T899M Ativ S LTE,Samsung,135 g,2013 Mar,Microsoft Windows Phone 8 (Apollo),Windows (mobile-class),Smartphone
4750,Vega No6 IM-A860L,Pantech,209 g,2013 Jun,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4751,Vega No6 IM-A860K,Pantech,210.5 g,2013 Apr.,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4752,Vega Iron IM-A870K,Pantech,154 g,2013 May,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4753,Vega Iron IM-A870L,Pantech,153 g,2013 May,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4754,Butterfly S 9060,HTC,158 g,2013 Sep,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4755,GT-i9506 Galaxy S4 with LTE+ / Galaxy S4 Advance 16GB,Samsung,130 g,2013 Nov.,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4756,SHV-E310S Galaxy Mega 6.3 LTE,Samsung,199 g,2013 Aug.,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4757,One mini HSPA 601e,HTC,122 g,2013 Aug. 9,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4758,SHV-E310L Galaxy Mega 6.3 LTE,Samsung,199 g,2013 Aug.,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4759,Lumia 625 LTE,Nokia,159 g,2013 Aug. 21,Microsoft Windows Phone 8 (Apollo),Windows (mobile-class),Smartphone
4760,Real R815W,Oppo,141.5 g,2013 Jul,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
4761,SHV-E330L Galaxy S4 LTE-A,Samsung,131 g,2013 Aug.,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4762,VM720 Optimus F3 4G LTE,LG,115 g,2013 Jul 18,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4763,MultiPhone PAP4055 DUO,Prestigio,134 g,2013 Jul,Google Android 4.1.1 (Jelly Bean),Android,Smartphone
4764,XT621 Ferrari Special Edition,Motorola,135 g,2013 Jul 22,Google Android 4.0.4 (Ice Cream Sandwich),Android,Smartphone
4765,MediaPad 7 Youth 3G 8GB S7-701u / S7-711u,Huawei,350 g,2013 Aug.,Google Android 4.1.2 (Jelly Bean),Android,Tablet
4766,8122,Coolpad,124 g,2013 Jul,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4767,Mi-535 Stellar Pinnacle Pro,Spice,196.3 g,2013 Apr.,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
4768,SM-T217A Galaxy Tab 3 7.0 4G LTE,Samsung,315 g,2013 Sep 6,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4769,DROID ULTRA XT1080,Motorola,137 g,2013 Aug. 21,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4770,DROID ULTRA MAXX XT1080M,Motorola,167 g,2013 Aug. 21,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4772,Desire 500 506e,HTC,123 g,2013 Aug.,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4773,G3S,Jiayu,131 g,2013 May,Google Android 4.2 (Jelly Bean),Android,Smartphone
4774,MD1008 Tablet PC,KNC,645 g,2013 Apr.,Google Android 4.1.2 (Jelly Bean),Android,Tablet
4775,S11 Tablet PC,Soulycin,676 g,2013 Apr.,Google Android 4.1.2 (Jelly Bean),Android,Tablet
4776,DROID MINI XT1030,Motorola,130 g,2013 Aug. 21,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4777,Primus XT621,Motorola,145.5 g,2013 Jan. 22,Google Android 2.3.6 (Gingerbread),Android,Smartphone
4778,Blade Super,ZTE,146 g,2013 Jul,Google Android 4.0.4 (Ice Cream Sandwich),Android,Smartphone
4779,BlackBerry 9720,RIM,120 g,2013 Aug. 19,RIM BlackBerry 7.1 OS,BlackBerry OS,Smartphone
4780,Desire 609d,HTC,127 g,2013 Jul,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4781,Moto X XT1053,Motorola,130 g,2013 Sep,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4782,Xperia Z Ultra LTE C6843,Sony,212 g,2013 Aug.,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4783,SHV-E310K Galaxy Mega 6.3 LTE,Samsung,199 g,2013 Aug.,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4784,SCH-P729 Galaxy Mega 6.3 Duos,Samsung,199 g,2013 Aug.,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4785,SGH-i467M Galaxy Note 8.0 LTE,Samsung,345 g,2013 Jul 11,Google Android 4.1.2 (Jelly Bean),Android,Tablet
4786,TS-9733 Tablet PC,Joinhand,690 g,2013 Mar,Google Android 4.0.4 (Ice Cream Sandwich),Android,Tablet
4787,Grand Memo U9815 TD-LTE,ZTE,190 g,2013 Sep,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4788,GT-N7108D Galaxy Note II TD-LTE,Samsung,182.5 g,2013 Sep,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4789,IN610,InFocus,226 g,2013 Aug.,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4790,GT-i9508C Galaxy S4 TD-LTE,Samsung,130 g,2013 Nov.,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4791,Sero 7 Pro 32 GB Tablet,Hisense,360 g,2013 Jul,Google Android 4.2.1 (Jelly Bean),Android,Tablet
4792,LePhone S750,Lenovo,157 g,2013 Jul,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
4793,SHV-E330K Galaxy S4 LTE-A,Samsung,131 g,2013 Aug.,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4794,SCH-I759 Galaxy Infinite,Samsung,131 g,2013 Mar,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4795,Real R819 / Find Mirror,Oppo,110 g,2013 Aug. 19,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
4797,IN810 TD-LTE,InFocus,143 g,2013 Jul,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4798,C2,Zopo,150 g,2013 Jun,Google Android 4.2 (Jelly Bean),Android,Smartphone
4799,N850,Amoi,158 g,2013 Apr.,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4800,Hongmi / Redmi Dual SIM 2013023,Xiaomi,158 g,2014 Feb. 21,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4801,Liquid Z130 Z3,Acer,120 g,2013 Sep,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4802,Liquid Z130 Duo / Z3 Dual SIM,Acer,120 g,2013 Sep,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4803,Xuan Ying SII 8750,Coolpad,158 g,2013 Aug.,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
4804,One mini LTE NA,HTC,122 g,2013 Aug. 22,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4805,Moto X XT1056 CDMA,Motorola,130 g,2013 Sep 6,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4806,T7,Hyundai,298 g,2013 Apr.,Google Android 4.0.4 (Ice Cream Sandwich),Android,Tablet
4807,F9X,Nextway,649 g,2013 Feb.,Google Android 4.1.1 (Jelly Bean),Android,Tablet
4808,N7300,Changjiang,215 g,2013 Jan.,Google Android 4.1.1 (Jelly Bean),Android,Smartphone
4809,Moto X XT1055 CDMA,Motorola,130 g,2013 Sep 6,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4810,G2 D801 4G LTE,LG,143 g,2013 Sep 12,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4811,SM-G3509 Galaxy Trend III CDMA,Samsung,124.8 g,2013 Oct,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4812,GT-i9197 Galaxy S4 Mini TD-LTE,Samsung,107 g,2013 Aug. 22,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4813,F320K G2 LTE-A,LG,140 g,2013 Sep 8,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4814,Xperia Z1 HSPA+ L39h C6902,Sony,170 g,2013 Sep,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4815,D500 Optimus F6,LG,124 g,2013 Sep,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4816,LG Optimus F3 4G LTE,T-Mobile,115 g,2013 Aug. 7,Google Android 4.2 (Jelly Bean),Android,Smartphone
4817,Vega LTE-A IM-A880S 32GB,Pantech,181.7 g,2013 Aug.,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4818,Education Tablet 7,Intel,355 g,2013 Sep,Google Android 4.1.2 (Jelly Bean),Android,Tablet
4819,Vega LTE-A IM-A880S 16GB,Pantech,181.7 g,2013 Aug.,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4820,Education Tablet 10,Intel,689 g,2013 Sep,Google Android 4.0.4 (Ice Cream Sandwich),Android,Tablet
4821,Xperia Z Ultra LTE C6833,Sony,212 g,2013 Aug.,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
